Year-Month,Method,Category,Format,TitleVolume,Activity,Unit,Sum
2017-09,Manual,Book,Book,Titles,additions,Cataloging,103
2017-09,Manual,Book,Book,Titles,additions,Serials,11
2017-09,Manual,Book,Book,Titles,withdraws,Cataloging,-3
2017-09,Manual,Book,Book,Volumes,additions,Cataloging,108
2017-09,Manual,Book,Book,Volumes,additions,Serials,12
2017-09,Manual,Book,Book,Volumes,withdraws,Cataloging,-3
2017-09,Manual,Document,Document,Titles,additions,Serials,3
2017-09,Manual,Document,Document,Volumes,additions,Serials,4
2017-09,Manual,Media,DVD,Titles,additions,Cataloging,8
2017-09,Manual,Media,DVD,Volumes,additions,Cataloging,8
2017-09,Manual,Media,Microform,Volumes,additions,Serials,2
2017-09,Manual,Serials,Periodical,Titles,additions,Serials,4
2017-09,Manual,Serials,Periodical,Titles,withdraws,Serials,-141
2017-09,Manual,Serials,Periodical,Volumes,additions,Serials,285
2017-09,Manual,Serials,Periodical,Volumes,withdraws,Serials,-3617
2017-09,Manual,Serials,Serial,Volumes,additions,Serials,18
2017-09,P-FILE-90,Book,Book,Titles,additions,Acquisitions,294
2017-09,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,294
2017-09,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,85
2017-09,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,86
2017-10,GENLOAD,Book,Book,Titles,additions,Acquisitions,231
2017-10,GENLOAD,Book,Book,Volumes,additions,Acquisitions,232
2017-10,Manual,Book,Book,Titles,additions,Cataloging,188
2017-10,Manual,Book,Book,Titles,additions,Serials,29
2017-10,Manual,Book,Book,Titles,withdraws,Cataloging,-28
2017-10,Manual,Book,Book,Volumes,additions,Cataloging,189
2017-10,Manual,Book,Book,Volumes,additions,Serials,32
2017-10,Manual,Book,Book,Volumes,withdraws,Cataloging,-74
2017-10,Manual,Document,Document,Titles,additions,Serials,1
2017-10,Manual,Document,Document,Volumes,additions,Serials,12
2017-10,Manual,eBook,eBook,Titles,additions,Cataloging,1
2017-10,Manual,eBook,eBook,Volumes,additions,Cataloging,1
2017-10,Manual,Media,DVD,Titles,additions,Cataloging,9
2017-10,Manual,Media,DVD,Volumes,additions,Cataloging,10
2017-10,Manual,Media,Microform,Titles,withdraws,Cataloging,-1
2017-10,Manual,Media,Microform,Titles,withdraws,Serials,-4
2017-10,Manual,Media,Microform,Volumes,additions,Serials,2
2017-10,Manual,Media,Microform,Volumes,withdraws,Cataloging,-1
2017-10,Manual,Media,Microform,Volumes,withdraws,Serials,-26
2017-10,Manual,Serials,Periodical,Titles,withdraws,Serials,-93
2017-10,Manual,Serials,Periodical,Volumes,additions,Serials,8
2017-10,Manual,Serials,Periodical,Volumes,withdraws,Serials,-6873
2017-10,Manual,Serials,Serial,Titles,additions,Serials,1
2017-10,Manual,Serials,Serial,Titles,withdraws,Serials,-124
2017-10,Manual,Serials,Serial,Volumes,additions,Serials,25
2017-10,Manual,Serials,Serial,Volumes,withdraws,Serials,-1256
2017-10,P-FILE-90,Book,Book,Titles,additions,Acquisitions,306
2017-10,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,305
2017-10,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,100
2017-10,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,104
2017-11,GENLOAD,Book,Book,Titles,additions,Acquisitions,169
2017-11,GENLOAD,Book,Book,Volumes,additions,Acquisitions,172
2017-11,Manual,Book,Book,Titles,additions,Cataloging,194
2017-11,Manual,Book,Book,Titles,additions,Serials,11
2017-11,Manual,Book,Book,Titles,withdraws,Cataloging,-29
2017-11,Manual,Book,Book,Volumes,additions,Cataloging,197
2017-11,Manual,Book,Book,Volumes,additions,Serials,11
2017-11,Manual,Book,Book,Volumes,withdraws,Cataloging,-68
2017-11,Manual,Book,Book,Volumes,withdraws,Serials,-1
2017-11,Manual,Document,Document,Volumes,additions,Serials,8
2017-11,Manual,eBook,eBook,Titles,additions,Cataloging,1
2017-11,Manual,eBook,eBook,Volumes,additions,Cataloging,1
2017-11,Manual,Media,CD-ROM,Volumes,additions,Serials,14
2017-11,Manual,Media,DVD,Titles,additions,Cataloging,10
2017-11,Manual,Media,DVD,Volumes,additions,Cataloging,23
2017-11,Manual,Serials,Periodical,Titles,additions,Serials,2
2017-11,Manual,Serials,Periodical,Titles,withdraws,Serials,-1
2017-11,Manual,Serials,Periodical,Volumes,additions,Serials,44
2017-11,Manual,Serials,Periodical,Volumes,withdraws,Serials,-48
2017-11,Manual,Serials,Serial,Titles,withdraws,Serials,-2
2017-11,Manual,Serials,Serial,Volumes,additions,Serials,34
